
WARNING:tensorflow:From C:\Users\giova\anaconda3\envs\DLA\lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.
C:\Users\giova\__PRODUCTIVITY\ArtificialIntelligence\__UNI\PW_AutonomousAgents\agent.py:90: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\cb\pytorch_1000000000000\work\torch\csrc\utils\tensor_new.cpp:264.)
  states = torch.tensor(normalized_states, dtype=torch.float32, device=self.device)
Episode 1, Total Reward: -22.1199, Epsilon: 0.9999, Tot Steps: 100
Episode 2, Total Reward: -84.5979, Epsilon: 0.9998, Tot Steps: 100
Episode 3, Total Reward: -32.9597, Epsilon: 0.9997, Tot Steps: 100
Episode 4, Total Reward: -34.2917, Epsilon: 0.9996, Tot Steps: 100
Episode 5, Total Reward: -62.0207, Epsilon: 0.9995, Tot Steps: 100
Episode 6, Total Reward: -2.3921, Epsilon: 0.9994, Tot Steps: 100
Episode 7, Total Reward: -62.4525, Epsilon: 0.9993, Tot Steps: 100
Episode 8, Total Reward: -3.3714, Epsilon: 0.9992, Tot Steps: 100
Episode 9, Total Reward: -15.0824, Epsilon: 0.9991, Tot Steps: 100
Episode 10, Total Reward: -89.3214, Epsilon: 0.9990, Tot Steps: 100
Episode 11, Total Reward: -521.2408, Epsilon: 0.9989, Tot Steps: 64
Episode 12, Total Reward: -41.4408, Epsilon: 0.9988, Tot Steps: 100
Episode 13, Total Reward: -15.9094, Epsilon: 0.9987, Tot Steps: 100
Episode 14, Total Reward: -2.6724, Epsilon: 0.9986, Tot Steps: 100
Episode 15, Total Reward: -45.9251, Epsilon: 0.9985, Tot Steps: 100
Episode 16, Total Reward: -0.9770, Epsilon: 0.9984, Tot Steps: 100
Episode 17, Total Reward: -52.0334, Epsilon: 0.9983, Tot Steps: 100
Episode 18, Total Reward: -32.9390, Epsilon: 0.9982, Tot Steps: 100
Episode 19, Total Reward: -9.4094, Epsilon: 0.9981, Tot Steps: 100
Episode 20, Total Reward: -37.7136, Epsilon: 0.9980, Tot Steps: 100
Episode 21, Total Reward: -8.4147, Epsilon: 0.9979, Tot Steps: 100
Episode 22, Total Reward: -18.3219, Epsilon: 0.9978, Tot Steps: 100
Episode 23, Total Reward: -38.6314, Epsilon: 0.9977, Tot Steps: 100
Episode 24, Total Reward: -45.2753, Epsilon: 0.9976, Tot Steps: 100
Episode 25, Total Reward: -47.9396, Epsilon: 0.9975, Tot Steps: 100
Episode 26, Total Reward: -27.6983, Epsilon: 0.9974, Tot Steps: 100
Episode 27, Total Reward: -9.9920, Epsilon: 0.9973, Tot Steps: 100
Episode 28, Total Reward: -51.3489, Epsilon: 0.9972, Tot Steps: 100
Episode 29, Total Reward: -18.1939, Epsilon: 0.9971, Tot Steps: 100
Episode 30, Total Reward: -90.0215, Epsilon: 0.9970, Tot Steps: 100
Episode 31, Total Reward: -137.1094, Epsilon: 0.9969, Tot Steps: 81
Episode 32, Total Reward: -1.8384, Epsilon: 0.9968, Tot Steps: 100
Episode 33, Total Reward: -11.8804, Epsilon: 0.9967, Tot Steps: 100
Episode 34, Total Reward: -41.3127, Epsilon: 0.9966, Tot Steps: 100
Episode 35, Total Reward: -234.7999, Epsilon: 0.9965, Tot Steps: 79
Episode 36, Total Reward: -25.7462, Epsilon: 0.9964, Tot Steps: 100
Episode 37, Total Reward: -46.0835, Epsilon: 0.9963, Tot Steps: 100
Episode 38, Total Reward: -17.7270, Epsilon: 0.9962, Tot Steps: 100
Episode 39, Total Reward: -43.1862, Epsilon: 0.9961, Tot Steps: 100
Episode 40, Total Reward: -479.5021, Epsilon: 0.9960, Tot Steps: 73
Episode 41, Total Reward: -37.2513, Epsilon: 0.9959, Tot Steps: 100
Episode 42, Total Reward: -5.9251, Epsilon: 0.9958, Tot Steps: 100
Episode 43, Total Reward: -28.8346, Epsilon: 0.9957, Tot Steps: 100
Episode 44, Total Reward: -24.9092, Epsilon: 0.9956, Tot Steps: 100
Episode 45, Total Reward: -17.8371, Epsilon: 0.9955, Tot Steps: 100
Episode 46, Total Reward: -1.7878, Epsilon: 0.9954, Tot Steps: 100
Episode 47, Total Reward: -2.7872, Epsilon: 0.9953, Tot Steps: 100
Episode 48, Total Reward: -349.9961, Epsilon: 0.9952, Tot Steps: 71
Episode 49, Total Reward: -28.1347, Epsilon: 0.9951, Tot Steps: 100
Episode 50, Total Reward: -7.2334, Epsilon: 0.9950, Tot Steps: 100
wandb: WARNING Step only supports monotonically increasing values, use define_metric to set a custom x axis. For details see: https://wandb.me/define-metric
wandb: WARNING (User provided step: 0 is less than current step: 99. Dropping entry: {'Score': -22.119949168225983, 'epsilon decay': 1.0, '_timestamp': 1728851398.3495793}).
wandb: WARNING (User provided step: 0 is less than current step: 99. Dropping entry: {'State/2 - EP': 1.9972741603851318, 'State/2 - EV': -0.08694702386856079, 'State/2 - ACC': -2.5582351684570312, '_timestamp': 1728851398.3535883}).
wandb: WARNING (User provided step: 1 is less than current step: 99. Dropping entry: {'State/2 - EP': 2.372314691543579, 'State/2 - EV': 0.1688764989376068, 'State/2 - ACC': -1.894472360610962, '_timestamp': 1728851398.3545902}).
wandb: WARNING (User provided step: 2 is less than current step: 99. Dropping entry: {'State/2 - EP': 2.673373222351074, 'State/2 - EV': 0.35832372307777405, 'State/2 - ACC': -0.06532663106918335, '_timestamp': 1728851398.3545902}).
wandb: WARNING (User provided step: 3 is less than current step: 99. Dropping entry: {'State/2 - EP': 2.7190046310424805, 'State/2 - EV': 0.36485639214515686, 'State/2 - ACC': -0.9276381731033325, '_timestamp': 1728851398.3545902}).
wandb: WARNING (User provided step: 4 is less than current step: 99. Dropping entry: {'State/2 - EP': 2.8946359157562256, 'State/2 - EV': 0.45762020349502563, 'State/2 - ACC': -2.025125741958618, '_timestamp': 1728851398.3555868}).
wandb: WARNING (User provided step: 5 is less than current step: 99. Dropping entry: {'State/2 - EP': 3.244166851043701, 'State/2 - EV': 0.6601327657699585, 'State/2 - ACC': 0.901507556438446, '_timestamp': 1728851398.3560905}).
